,진입 탈출로 개수,30m 이내 진입 탈출로 개수,최소 도로폭,교차로 개수,침엽수림 비율,산림기준 이격 거리,창문,산불 진화용수 거리,소방서와의 거리,담 유무,산림방향 담 유무,최대 경사도,최소 경사도,주건물 지붕특성,비산거리,불난 후 상태
0,"강원도 고성군 / 속초시, 옥계산불 ver1_1",,,,,,,,,,,,,,,
1150,0,0.0,0.0,3.0,7.74,70.62,102.38,23.94,6.41,,,,,,0.0,0.0
1151,4,4.0,3.0,6.0,7.69,62.08,115.2,23.95,6.42,0.0,,26.0,5.0,0.0,0.0,0.0
1152,3,3.0,3.2,6.0,7.74,52.87,33.84,23.95,6.42,0.0,,34.0,10.0,1.0,0.0,0.0
1153,1,1.0,3.0,5.0,0.0,108.39,13.36,23.97,6.37,0.0,,4.0,0.0,1.0,0.0,0.0
1154,2,3.0,3.2,7.0,20.51,30.01,51.9,23.97,6.44,0.0,,37.0,16.0,1.0,0.0,0.0
1155,1,1.0,3.0,7.0,0.0,97.49,23.33,23.98,6.38,0.0,,5.0,2.0,1.0,0.0,0.0
1156,4,4.0,3.0,8.0,24.39,36.35,35.19,23.98,6.43,0.0,,36.0,7.0,1.0,0.0,0.0
1157,1,1.0,3.0,8.0,0.0,95.2,58.97,23.98,6.38,0.0,,5.0,4.0,1.0,0.0,0.0
1158,0,0.0,0.0,3.0,0.0,110.26,106.7,24.0,6.34,,,,,,0.0,0.0
1159,1,1.0,3.0,8.0,0.61,86.49,56.25,23.99,6.38,0.0,,4.0,4.0,1.0,0.0,0.0
1160,2,2.0,3.0,8.0,2.23,81.73,67.54,23.99,6.39,0.0,,4.0,4.0,1.0,0.0,0.0
1161,4,4.0,3.0,9.0,21.05,33.39,22.18,23.99,6.43,,,,,,0.0,0.0
1162,5,6.0,3.0,10.0,18.07,31.1,29.15,23.99,6.44,0.0,,30.0,11.0,1.0,0.0,0.0
1163,4,4.0,3.0,8.0,0.0,79.91,30.33,24.01,6.38,0.0,,5.0,4.0,1.0,0.0,0.0
1164,2,2.0,4.5,8.0,0.0,75.95,58.03,24.02,6.37,0.0,,5.0,4.0,1.0,0.0,0.0
1165,3,3.0,3.0,8.0,0.02,66.72,51.61,24.02,6.38,0.0,,5.0,4.0,1.0,0.0,0.0
1166,0,0.0,0.0,0.0,3.02,24.0,92.1,24.18,6.38,0.0,,6.0,1.0,1.0,0.0,0.0
1167,0,0.0,0.0,0.0,4.87,19.06,82.8,24.18,6.38,0.0,,7.0,0.0,1.0,0.0,0.0
1168,0,0.0,0.0,0.0,6.42,12.12,29.1,24.19,6.38,0.0,,7.0,0.0,1.0,0.0,0.0
1169,0,0.0,0.0,1.0,5.99,20.59,33.87,24.22,6.39,0.0,,0.0,0.0,1.0,0.0,0.0
1170,0,0.0,0.0,0.0,12.22,0.09,34.06,24.23,6.35,0.0,,9.0,6.0,1.0,1.0,2.0
1171,0,0.0,0.0,0.0,11.8,0.0,35.77,24.24,6.36,0.0,,10.0,3.0,1.0,1.0,0.0
1172,0,0.0,0.0,0.0,0.79,0.09,354.72,24.34,6.34,0.0,,28.0,24.0,1.0,0.0,0.0
1173,0,0.0,0.0,1.0,1.46,0.0,25.0,24.35,6.32,,,,,,1.0,0.0
1174,0,0.0,0.0,4.0,0.99,36.08,90.72,24.37,6.3,0.0,,2.0,0.0,0.0,0.0,0.0
1175,0,0.0,0.0,3.0,1.05,15.32,321.55,24.37,6.31,0.0,,5.0,1.0,1.0,0.0,0.0
1176,0,0.0,0.0,3.0,0.98,18.52,160.88,24.37,6.3,0.0,,5.0,0.0,1.0,0.0,0.0
1177,0,0.0,0.0,3.0,0.91,17.0,158.7,24.38,6.29,0.0,,6.0,0.0,1.0,0.0,0.0
1178,0,0.0,0.0,6.0,1.04,47.29,194.8,24.39,6.28,0.0,,0.0,0.0,1.0,0.0,0.0
1179,0,0.0,0.0,1.0,15.3,0.69,48.43,24.34,6.33,0.0,,5.0,4.0,1.0,1.0,0.0
1180,0,0.0,0.0,2.0,18.66,7.58,27.75,24.35,6.33,0.0,,5.0,4.0,1.0,0.0,0.0
1181,0,0.0,0.0,1.0,12.7,0.09,18.53,24.36,6.32,0.0,,5.0,4.0,1.0,1.0,0.0
1182,0,0.0,0.0,2.0,12.25,0.06,30.1,24.36,6.31,0.0,,5.0,1.0,1.0,1.0,0.0
1183,0,0.0,0.0,2.0,14.99,2.17,15.87,24.36,6.31,0.0,,5.0,3.0,1.0,1.0,0.0
1184,0,0.0,0.0,4.0,20.65,14.49,21.54,24.36,6.32,0.0,,5.0,4.0,1.0,1.0,0.0
1185,0,0.0,0.0,2.0,8.92,0.06,14.6,24.37,6.3,0.0,,4.0,0.0,1.0,0.0,2.0
1186,0,0.0,0.0,2.0,8.11,0.09,28.73,24.38,6.29,0.0,,1.0,0.0,1.0,1.0,2.0
1187,0,0.0,0.0,2.0,14.11,0.09,50.1,24.38,6.3,0.0,,5.0,0.0,1.0,0.0,0.0
1188,0,0.0,0.0,2.0,9.13,0.0,103.91,24.39,6.29,0.0,,0.0,0.0,1.0,0.0,1.0
1189,0,0.0,0.0,5.0,21.74,8.24,111.5,24.4,6.28,,,,,,1.0,0.0
1190,1,2.0,3.1,6.0,30.34,9.09,27.91,24.42,6.26,0.0,,7.0,0.0,1.0,0.0,0.0
1191,2,3.0,2.1,1.0,57.28,1.94,17.5,24.72,5.96,0.0,,0.0,0.0,1.0,1.0,0.0
1192,3,3.0,2.1,1.0,57.79,3.72,53.52,24.73,5.95,0.0,,0.0,0.0,0.0,0.0,0.0
1193,3,3.0,2.1,1.0,56.27,2.56,15.62,24.73,5.95,0.0,,0.0,0.0,1.0,1.0,0.0
1194,3,3.0,2.1,1.0,55.98,3.95,19.87,24.74,5.94,0.0,,0.0,0.0,1.0,1.0,0.0
1195,2,3.0,2.1,1.0,67.1,21.77,25.83,24.74,5.94,0.0,,0.0,0.0,1.0,0.0,0.0
1196,2,3.0,2.1,1.0,66.28,19.81,8.76,24.75,5.93,0.0,,0.0,0.0,1.0,1.0,0.0
1197,2,3.0,2.1,1.0,71.06,24.06,7.26,24.75,5.93,0.0,,0.0,0.0,1.0,0.0,0.0
1198,1,1.0,2.1,1.0,53.59,3.24,40.39,24.76,5.92,0.0,,0.0,0.0,0.0,0.0,0.0
1199,1,1.0,2.1,1.0,48.7,0.0,6.97,24.77,5.91,0.0,,0.0,0.0,1.0,0.0,0.0
1200,2,2.0,2.1,1.0,47.23,0.06,17.11,24.77,5.91,0.0,,0.0,0.0,1.0,0.0,0.0
1201,2,2.0,2.1,1.0,50.78,0.0,30.07,24.79,5.9,0.0,,0.0,0.0,1.0,0.0,0.0
1202,0,0.0,0.0,0.0,62.68,0.06,6.65,24.81,5.88,0.0,,0.0,0.0,1.0,1.0,0.0
1203,0,0.0,0.0,0.0,66.58,0.0,7.49,24.82,5.87,0.0,,0.0,0.0,1.0,0.0,2.0
1204,1,1.0,2.3,1.0,18.91,62.47,9.82,24.72,5.97,0.0,,0.0,0.0,1.0,0.0,0.0
