7,8,2.8,13,86.32,31.25,87.48,38593.44,373.71,0,,
4,5,2.8,8,0,31.25,33.16,38639.01,423.3,0,,
3,5,2.8,8,0,31.25,33.16,38630.78,414.34,0,,
4,4,2.8,9,0,31.25,46.77,38610.41,392.15,0,,
7,7,2.8,11,78.32,31.25,59.88,38598.52,380.04,0,,
4,4,3.9,13,91.41,31.25,38.58,38580.67,360.48,0,,
4,4,3.9,13,92.9,31.25,25.2,38577.05,356.14,0,,
3,5,3.1,6,0,31.25,46.79,38657.29,444.36,0,,
4,6,2.8,8,0,31.25,62.5,38638.73,424.74,0,,
3,4,2.8,8,0,31.25,63.71,38620.72,404.66,0,,
2,3,2.8,8,0,31.25,84.46,38618.14,401.29,0,,
5,5,2.8,13,90.21,31.25,21.25,38584.15,365.15,0,,
3,4,3.1,4,0,31.25,31.68,38664.71,455.31,0,,
2,5,3.1,4,0,31.25,32.82,38661.19,450.7,0,,
4,4,3.9,14,94.63,31.25,31.68,38570.32,351.75,0,,
4,4,3.9,14,94.59,31.25,16.29,38566.43,346.88,0,,
2,6,2.8,8,0,31.25,58.32,38642.79,433.86,0,,
4,5,2.8,9,96.1,31.25,714.14,38610.29,398.78,0,,
5,5,2.8,13,92.76,31.25,27.86,38575.79,358.9,0,,
3,6,2.8,7,0,31.25,54.66,38637.09,430.4,0,,
2,2,2.8,9,75.48,31.25,60.74,38591.04,378.14,0,,
3,3,2.8,9,97.06,31.25,41.18,38600.7,393.11,0,,
4,5,2.8,9,97.06,31.25,58.85,38606.93,401.54,0,,
2,2,3.7,3,94.45,31.25,43.5,38596.87,375.2,0,,
3,3,2.2,4,94.45,31.25,59.73,38642.48,427.3,0,,
0,0,0,4,94.66,31.25,89.11,38614.95,398.35,0,,
0,0,0,4,94.63,31.25,50.07,38592.85,374.41,0,,
0,0,0,5,94.66,31.25,20.74,38618.77,404.43,0,,
0,0,0,5,94.66,31.25,49.28,38624.93,412.58,0,,
0,0,0,5,94.66,31.25,49.28,38624.93,412.58,0,,
0,0,0,6,94.72,31.25,27.22,38573.7,356.89,0,,
0,0,0,3,94.66,31.25,40.45,38636.75,427.33,0,,
0,0,0,5,94.66,31.25,48.08,38617.31,406.45,0,,
1,1,5.7,3,94.55,31.25,107.31,38644.65,438.2,0,,
0,0,0,3,94.66,31.25,85.19,38623.51,413.89,0,,
0,0,0,5,94.73,31.25,43.43,38592.66,380.79,0,,
2,2,2.3,3,94.13,31.25,65.52,38648.7,445,0,,
1,1,2.3,3,94.66,31.25,36.72,38633.15,427.05,0,,
0,0,0,5,94.58,31.25,44.32,38601.94,392.43,0,,
0,0,0,5,94.58,31.25,44.32,38601.94,392.43,0,,
0,0,0,3,94.66,31.25,48.31,38621.68,415.04,0,,
0,0,0,6,94.82,31.25,78.62,38585.43,374.5,0,,
1,1,2.3,3,94.66,31.25,33.87,38618.93,415.67,0,,
1,1,2.3,3,94.66,31.25,37.4,38612.88,407.82,0,,
0,0,0,5,94.69,31.25,16.29,,,0,,
1,1,2.3,3,94.66,31.25,32.46,38608.63,404.7,0,,
0,0,0,5,94.69,31.25,16.29,38600.91,394.18,0,,
0,0,0,0,0,0,12.1,38656.04,433.78,2,,
0,0,0,0,0,0.06,17.97,38652.05,429.32,0,,
0,0,0,0,0,0.06,23.62,38648.21,425.84,2,,
0,0,0,0,0,0.06,25.83,38643.41,420.61,0,,
0,0,0,0,0,0.09,32.5,38641.69,418.76,0,,
0,0,0,0,0,0.06,35.14,38643.65,421.83,2,,
0,0,0,0,0,0.06,10.11,38635.86,413.33,2,,
0,0,0,1,0,0.06,32.05,38625.69,403.2,0,,
0,0,0,0,0,0.09,62.02,38659.38,440.28,0,,
0,0,0,0,0,0,33.12,38634.25,413.15,0,,
0,0,0,1,0,0.06,31.88,38620.66,398.81,0,,
0,0,0,0,0,0,13.71,38634.34,413.98,0,,
0,0,0,1,0,0.06,28.22,38628.17,407.51,0,,
0,0,0,2,0,0.09,46.73,38611.32,389.76,0,,
0,0,0,0,0,0.09,55.71,38676.67,463.99,0,,
0,0,0,0,0,0.06,56.16,38671.72,458.25,0,,
0,0,0,0,0,0.06,25.72,38668.41,453.98,0,,
0,0,0,0,0,0.09,29.16,38663.1,447.85,0,,
0,0,0,0,0,0.09,25.44,38655.22,439.77,0,,
0,0,0,0,0,0.06,31.1,38642.04,425.1,0,,
0,0,0,0,0,0.06,33.7,38639.9,422.23,0,,
0,0,0,0,0,0.06,34.85,38632.92,414.97,0,,
0,0,0,1,0,0.06,42.6,38628.53,409.93,0,,
0,0,0,1,0,0.06,29.64,38621.14,402.8,0,,
0,0,0,2,0,0,42.11,38614.83,395.2,0,,
0,0,0,2,0,0.06,87.84,38608.96,388.47,0,,
0,0,0,2,1.27,0.56,8.32,38595.77,374.91,0,,
